Outreach ID,Company ID,Company,Visit Date,Notes,Outcome,Stage,Status,Next Visit Date,Days Since Last Visit,Next Visit Countdown,Outcome Category,Follow Up Action,Owner,Prospects Match,Contact Type,Email Sent,Email Opened
LID-00084,CID-24B7E75B,Gotcha Covered Metal and Portable Buildings,2025-11-17,"Had a long conversation with Kenny Cargill the owner and he wants to proceed forwards with a roll off container. So as soon as we can get one out to him, he would be greatly appreciative of it.",Won,Won,Active,11/22/2025,28,-23,Interested,Deploy container,Kyle,Yes,In Person,FALSE,
LID-00085,CID-C4C822E5,Riley Powers Inc,2025-11-17,Spoke to the receptionist who said the shop manager or owner handles all vendor decisions. Explained our roll off service and they took my card. Said they would pass it along for approval and get back to me.,Corporate/Manager Approval,Nurture,Warm,12/17/2025,28,2,Other,General Follow up,Kyle,Yes,In Person,FALSE,
LID-00086,CID-B779D114,Second Generation Arc N Spark Welding,2025-11-17,"They are currently using Tyler Iron and have not had any issues with them. I explained how our services are far better and we can offer extremely competitive pricing for their scrap, but they did not seem very interested in making the switch.",Has Vendor,Nurture,Warm,2/15/2026,28,62,Has Vendor,Follow up in 90 days,Kyle,Yes,In Person,FALSE,
LID-00087,CID-C0B63965,Striping Technology,2025-11-17,"Talked to the manager, they mainly deal with container rentals and repairs. Said they don't generate enough scrap metal to warrant a roll off container. Gave them my card in case anything changes.",Corporate/Manager Approval,Nurture,Warm,12/17/2025,28,2,Other,General Follow up,Kyle,Yes,In Person,FALSE,
LID-00088,CID-9DCB58F1,"Texas Sheet Metal, LLC",2025-11-17,"Talked to the owner Jose Ramos and he said that they typically take about 6,000 lbs of sheet metal to Tyler Iron every month. I told him that we could offer very competitive pricing and because he produces so much scrap metal a month that we could waive the roll off fee. He is needing a 30 yd container as soon as possible",Won,Won,Active,11/22/2025,28,-23,Interested,Deploy container,Kyle,Yes,In Person,FALSE,
LID-00089,CID-9DE0864A,Tyler Tool & Fasteners,2025-11-17,"Talked to one of the owners, Randy Hunter, and he just has to confirm with some of his partners to use us as their roll-off service account. I will check back in two days to confirm that they came to an agreement, but I am pretty sure it will be a done deal",Interested,Nurture,Hot,12/1/2025,28,-14,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00090,CID-F9173DF1,Rayson Autobody LLC,2025-11-18,"Spoke with Gary Rayson regarding our services, said he was just using a small bin and it was a hassle trying to load it all up to take to the scrap yard. Walked the property with him and noticed scrap scattered everywhere. I told him how easy of a system it is to have just a container and that we can go through and seperate it all for him. We figured out where the container would best fit and he decided he wanted to use our roll-off container services. Account won",Won,Won,Active,11/23/2025,27,-22,Interested,Deploy container,Kyle,Yes,In Person,FALSE,
LID-00091,CID-7FE988B8,Air Rover,2025-11-20,They did not have a lot of scrap metal and were very reluctant to talk to me because they make aerospace parts for the government. I still gave them information about our roll-off service and gave them my card.,Not Interested,Lost,Cold,5/19/2026,25,155,Interested,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00092,CID-B34646F3,Calvins Welder Repair,2025-11-20,Talked to the owner for a while and he just didnt think he generated enough scrap to warrant a roll off or even a box since he runs a small time business. He took my card and said that he would let his customers know about our company and services.,No Scrap,Lost,Cold,5/19/2026,25,155,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00093,CID-9523F9D8,CNC Fabrication,2025-11-20,"Owner said that they take it themselves to Tyler Iron, he said they take roughly 2-3k lbs of short iron a month and Tyler Iron pays $8 per 100lbs. He said they have a system that works and doesnt want to make a change. I still asked him what it would take to get his business and he said hes never thought about that, but nonetheless still is not interested in changing up how he does things because they have a great relationship with Tyler Iron",Has Vendor,Nurture,Warm,2/18/2026,25,65,Has Vendor,Follow up in 90 days,Kyle,Yes,In Person,FALSE,
LID-00094,CID-B6E6FF1B,Etheridge industrial services,2025-11-20,"In house, did not want to disclose any information about how they handled their scrap metal. I explained how easy and efficient our roll-off service was and how we could offer top dollar for their metal, but they did not seem interested",Not Interested,Lost,Cold,5/19/2026,25,155,Interested,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00095,CID-72068DA5,MCM Metal Buildings,2025-11-20,The front door was locked so I called them and got the voicemail of the owner (Alan Acker) so I left a brief voicemail explaining who I was and how we offer roll-off services to businesses with scrap metal. I will try calling back tomorrow.,,Prospect,Cold,,25,-46006,,,Kyle,Yes,In Person,FALSE,
LID-00096,CID-7D3975BA,Reece Plumbing,2025-11-20,The owner said that they did not generate much scrap and what scrap they do get he lets his guys take it. I explained how easy our service was but he did not really want to change the process he already has since its working. I gave him my card and told him if things change to let me know.,Not Interested,Lost,Cold,5/19/2026,25,155,Interested,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00097,CID-5B6901F8,Texas Metal Carports,2025-11-20,"Talked to one of the top managers for a while. Both of the owners won't be back until next week, but I got some good information from the manager. He explained that they fill up a 30yd roll off container 2 times a month and that they are currently using Tyler Iron. I asked if there were any pain points that they are currently having with them and he said that one of the drivers is rude and grumpy and when they call to get their roll off dumped, there is no guranteed time or date that Tyler Iron can get to it. I explained how our services are significantly better and how we are much more innovative and can give a much more accurate timeframe when we would be able to pick it up. Told him that we could put the container at their business for free. The manager did not know exactly how much Tyler Iron was paying, but I told him to ask and whenever I go back up there next week I can get with Corey and see if we can get a better price. He was very interested and said he would give my card to the owners, but I still plan on going up there first thing next week.",Won,Won,Active,11/25/2025,25,-20,Interested,Deploy container,Kyle,Yes,In Person,FALSE,
LID-00098,CID-D8B978B4,3H Building and Construction,2025-11-21,,No Scrap,Lost,Cold,5/20/2026,24,156,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00099,CID-F0422CA6,Ariens Lawn Mower,2025-11-21,"I was passing by and saw that they had a fair amount of lawn mowers outside, but they have someone else pick up their scrap - Archie. They gave Archie a call and turns out he takes his scrap to Huntwell. I tried explaining the different sized roll off containers, making them contemplate the amount of money they would make off of the scrap compared to reselling old mowers that do not work. But ultimately they felt as if they didn't have anough scrap and they have a really good relationship with Archie",Has Vendor,Nurture,Warm,2/19/2026,24,66,Has Vendor,Follow up in 90 days,Kyle,Yes,In Person,FALSE,
LID-00100,CID-F5A4A231,Boat Services,2025-11-21,Does not have any scrap,,Prospect,Cold,,24,-46006,,,Kyle,Yes,In Person,FALSE,
LID-00101,CID-1088BAE8,Nautica Marine Parts and Service,2025-11-21,"Met with a manager and the owner currently hauls the scrap metal off himself so I explained our process and how we could pay top dollar for the metal and it would alleviate some of the hassle of having to haul it off to a scrap yard. The manager seemed really receptive, but it would have to be approved by the owner. The owner will not be in town the next week, so I plan on stopping by the week after next and try to gain this account.",Interested,Nurture,Hot,12/5/2025,24,-10,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00102,CID-B31140B4,Petroleum Group,2025-11-21,"Was really interested in our services, but they didnt feel like they generated enough scrap to warrant a roll off container. I walked around with the field service manager looking at their scrap and it really wasnt much. They also dont really have very much space for a roll off container because their republic roll off container takes up most of it. I told him that I could always bring a bin and pallet by since they dealt with mainly aluminum pumps and he seemed intrigued by it. We exchanged cards and he said to give him a call in a week if I havent heard from him and we could work something out",Interested,Nurture,Hot,12/5/2025,24,-10,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00103,CID-709BA40E,Texwin Metal Buildings,2025-11-21,No scrap metal. The metal buildings are pre-built so they do not come across a lot of scrap,No Scrap,Lost,Cold,5/20/2026,24,156,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00104,CID-3CF5B20B,Casting Repair Service,2025-11-25,"He said that he would be retiring in 2 years and had a lot of scrap that he needed to get rid of (A couple machines weighing 900lbs each, as well as aluminum cast and steel) but his space is currently just a little too small and he said it would take him a year to fill up a roll off. I offered a pallet and box so that he would throw his metal in there and make it easy and efficient, but he wanted to get some more use out of his trailer that he is about to scrap. I told him as long as its metal I would buy it and he said he would reach out whenever he cleans his shop up a little bit",No Scrap,Lost,Cold,5/24/2026,20,160,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00105,CID-14E958E5,Dunn Transmissions,2025-11-25,"The manager was very receptive to my informing her on our services and how much it could help minimize the struggle of having to haul it off themselves. The owner wasn't in, but she said she would let him know and give him my card. I asked when a good time for me to stop by and talk to him would be and she said she wasn't all too sure so I will need to add her to the follow up list",Corporate/Manager Approval,Nurture,Warm,12/25/2025,20,10,Other,General Follow up,Kyle,Yes,In Person,FALSE,
LID-00106,CID-5B6901F8,Texas Metal Carports,2025-11-25,"Followed up with Sergio and convinced him that we could offer better service by putting them on a schedule to aleviate some of the issues he has had with calling Tyler Iron and them not showing up days later. Also told him that since he will be needing a 30 yard container dumped every 2 weeks during slow season and 1-2 times a week during peakseason, that we could pay slightly above board price. I have a confirmed price of .25 cents over board price. Confirmed with David and we will have a container dropped off over there tomorrow.",Won,Won,Active,11/30/2025,20,-15,Interested,Deploy container,Kyle,Yes,In Person,FALSE,
LID-00107,CID-0AF478B8,Tyler Muffler Shop,2025-11-25,"The owner ddidn't think he had enough space to warrant a roll off container, so I let him know about our other options and different sized boxes. And even then he just wasn't convinced so I gave him my card and told him that if and when he does take his scrap to call me so that he can take it to Madfos.",No Scrap,Lost,Cold,5/24/2026,20,160,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00108,CID-BE2CAE79,West Erwin Auto Repiar,2025-11-25,"manager/owner approval. currently lets someone take it from church, told him that we would seperate all metals to get him the best deal. also told him that if we put a roll off container on the property, it would benefit us, them, and the church so its really a win win situation. If he were the one making decisions I would have gotten the account. They dont produce a lot of scrap so its lower on my priority list",Interested,Nurture,Hot,12/9/2025,20,-6,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00109,CID-96205DAA,WON Motors LLC,2025-11-25,"Spoke to the shop foreman and he said that they typically take their scrap metal on a 4x8 trailer to Tyler Iron and Metal. I offered a smaller roll-off container option for him and asked what tyler Iron was paying so that he would start taking it to Madfos. He seemed interested, but before he could make any decisions, the owner would have to approve it. He said he would give me a call back, but I plan on stopping by next week whenever the owner gets back from vacation.",Corporate/Manager Approval,Nurture,Warm,12/25/2025,20,10,Other,General Follow up,Kyle,Yes,In Person,FALSE,
LID-00110,CID-C0D832D3,AAA Sanitation,2025-11-26,Has their own roll off containers,No Scrap,Lost,Cold,5/25/2026,19,161,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00111,CID-4BD15916,Ed Datwyler,2025-11-26,Spoke to Ed regarding a trailer of 304 stainless stell mesh he was scraping. I called Corey to confirm a price of $0.21/lb and said he was going to think about taking it to Madfos,Interested,Nurture,Hot,12/10/2025,19,-5,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00112,CID-21837C9D,Espinozas Paint and Body,2025-11-26,"Was kind of interested, but they are happy taking it themselves. I went down my rebuttal list, but I couldn't convince them",Not Interested,Lost,Cold,5/25/2026,19,161,Interested,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00113,CID-63928F4B,Matheson,2025-11-26,"Did not feel as if they generated enough scrap metal, and mainly just deal with tanks",No Scrap,Lost,Cold,5/25/2026,19,161,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00114,CID-FB926709,Murpheys Welding,2025-11-26,"Has his own roll off container and currently takes it to Tyler Iron, asked him what it would take for him to bring his scrap from now on to Madfos and we agreed on a price of $8.75/100lbs. He is going to be cleaning up his shop and will have a good amount of short iron next week and in the future.",Won,Won,Active,12/1/2025,19,-14,Interested,Deploy container,Kyle,Yes,In Person,FALSE,
LID-00115,CID-1E12DEDC,Pedros Paint and Body,2025-11-26,"Spoke to the receptionist and she had told me that they dont currently use anyone and that the owner would be back around 5:30, so I plan on following up with them on 12/1/2025 or 12/2/2025",Interested,Nurture,Hot,12/10/2025,19,-5,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00116,CID-3BCCC000,Rays Autobody,2025-11-26,"Currently takes his scrap metal to Dallas. He asked how big it was and i let him know the different sizes and he seemed very interested, but wouldnt commit. He told me he would think about it, so I need to add him to my list to follow up",No Scrap,Lost,Cold,5/25/2026,19,161,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00117,CID-3836A252,Rose City Air,2025-11-26,"Spoke to the receptionist and she said that they are happy with AIM, I gave her my card and let her know that if there were any issues or problems to give me a call and we could arrange something convienvt to their needs.",Has Vendor,Nurture,Warm,2/24/2026,19,71,Has Vendor,Follow up in 90 days,Kyle,Yes,In Person,FALSE,
LID-00118,CID-71645C48,T&G Welding Supply,2025-11-26,"Was informed that they did not have any scrap, but said that they would let people know about our services",No Scrap,Lost,Cold,5/25/2026,19,161,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00119,CID-15F9D96A,Tyler Industrial Supply,2025-11-26,"Spoke to a manager and informed him on our services. He was very interested, but felt like he didn't get enough scrap and so they currently take it to Tyler Iron themselves. I let him know that he wouldnt even have to worry about loading it up because we can seperate and handle all of the heavy lifting. He said he would talk to his team next week. I will get this account, I just need to follow up.",Interested,Nurture,Hot,12/10/2025,19,-5,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00120,CID-EF0854C1,ASAP Roofing,2025-12-01,"Follow up completed. Still was not able to speak to someone that could make the decisions regarding implementing a roll off container for their jobs. They had told me to come early in the morning if I wanted to talk to the operations manager, but based on all of my interactions with roofing companies, I am putting the roofing industry as a low priority on my outreach attempts.",No Scrap,Lost,Cold,5/30/2026,14,166,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00121,CID-7305AF6F,Banggood Auto Parts,2025-12-01,"Follow up completed. They talked to corporate about the roll-off container and they said that they currently do not need one, I explained out services and how we could tailor it to their low amount of scrap metal, but the company is located in Australia and everything has to get approved by them.",Not Interested,Lost,Cold,5/30/2026,14,166,Interested,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00122,CID-86189B03,Cables Roofing,2025-12-01,Follow up completed. They said they currently do not have any jobs that generate much scrap metal and were a little resistant to give me contractor information. He said their jobs are usually pretty small so he looks at it as kind of a bonus to his employees for taking the scrap themselves. I tried to explain how it could be like a bonus for them regardless if they take it or not because we can still pay him and he said he would think about it.,No Scrap,Lost,Cold,5/30/2026,14,166,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00123,CID-C688A9DC,Callibur Collision,2025-12-01,"Currently lets their employees take the scrap home but thought it might be a good idea to add a roll off to make it more organized. Said they do not produce very much scrap, but it varies. I let them know that we are partnered with various autobody shops around Tyler and we can accomodate any amount of scrap that they have or produce. He said he would discuss it with someone and let me know. I plan on going back over there later this week",Interested,Nurture,Hot,12/15/2025,14,0,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00124,CID-43547427,Fast Signs,2025-12-01,"They do not really deal with any scrap metal, its mainly wraps and digital signs",No Scrap,Lost,Cold,5/30/2026,14,166,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00125,CID-6B1E7213,Joe Hudson,2025-12-01,"Spoke to the receptionist and she said that she would give me card to someone, was not able to speak with a direct manager so I am not ruling them out as being unqualified",Corporate/Manager Approval,Nurture,Warm,12/31/2025,14,16,Other,General Follow up,Kyle,Yes,In Person,FALSE,
LID-00126,CID-3629A537,McCoys Plumbing,2025-12-01,Follow up complete. Spoke to the receptionist again because the owner was out. She had told me she gave my card to the owner and was told that he would think about it. So I need to go over there early/mid morning and try and speak with him directly,Corporate/Manager Approval,Nurture,Warm,12/31/2025,14,16,Other,General Follow up,Kyle,Yes,In Person,FALSE,
LID-00127,CID-157C38BD,Pro-Tech Services,2025-12-01,"Spoke with the owner and she was happy with how they are currently doing things because they really do not have a lot of scrap. I let her know that she could get paid for the scrap that she is putting out on the road. Didnt seem very concerned about it though. I still gave her a card and told her if she ever changed her mind, that I would pay top dollar for her metal",Not Interested,Lost,Cold,5/30/2026,14,166,Interested,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00128,CID-EBC8FE35,Coker Enterprises - Trailer,2025-12-02,"Talked to Sam the owner and asked him if they currently use anyone for their scrap metal. He said they do not, but he currently takes it to Tyler Iron manually. I didn't get an exact amount on how much scrap they generate, but from speaking with an employee, she made it seem like a lot. I told him that we could get him a roll off container and waive the roll-off fee and match and/or pay more than whatever Tyler Iron is paying. He seemed very interested, but told me he would think about it and let me know. I think this would be a decent account so I am going to follow up in a couple days",Interested,Nurture,Hot,12/16/2025,13,1,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00129,CID-E297BA7E,Customer at Coker,2025-12-02,"After speaking with the owner, a customer had let me know that he currently has 17 riding lawn mowers that he is wanting scraped and has a personal dump trailer. I told him that I will buy it and pay him top dollar for it, but he kind of seemed reluctant since he lives out in Hawkins. I gave him my card and let him know that if he changed his mind to let me know.",Interested,Nurture,Hot,12/16/2025,13,1,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00130,CID-72303900,Joe Hudson's Collision Center,2025-12-09,"Spoke to the receptionist who worked with me at Enterprise. She went back and talked to her manager, who said that they currently have someone (I asked but was not able to find out who) But was told that all decisions that are made need to have corporate approval. She wrote down all of the information about our roll off service to give to her boss. ",Corporate/Manager Approval,Nurture,Warm,1/8/2026,6,24,Other,General Follow up,Kyle,Yes,In Person,FALSE,
LID-1765376975041,CID-50923FA4,overhead door company,2025-12-09,"Spoke to the owner over the phone at their office and he said that they currently take the scrap themselves with a 20 ft roll off. I told him that I could place a roll off container at their property for little to no money, but he would not deviate from how they already have a system in place that works for them. I told him that even if he does not use our roll off service that I could work with him on getting a better price for the metal that he does take. He said that he would let me know the next time they take it are needing to go to the scrap yard, but I would not put my money on it. He seemed a little annoyed that I kept asking questions and having a rebuttal for every response he had.",Not Interested,Lost,Cold,12/21/2025,6,6,Interested,Follow up in 180 days,marketing@kl-recycling.com,Yes,In Person,FALSE,
LID-1765319197837,CID-6DCA3B4A,east texas collision repair,2025-12-09,"Spoke to the receptionist for the 2nd time and she informed me that she did give my card to the owner, but I have not received a call from him. I asked when a good time to stop by would be since he is the one who makes decisions and she took down my information and said that she would send him a text. She does not know how they handle their scrap, so until I am able to speak with him directly, I would consider this a low priority. ",Corporate/Manager Approval,Nurture,Warm,12/22/2025,6,7,Other,General Follow up,marketing@kl-recycling.com,Yes,In Person,FALSE,
LID-1765321096489,CID-MIZ6LMGJ,baker construction,2025-12-09,"They main deal with road construction and so they do not generate much scrap, if any. I left my card with the receptionist and told her that if they ever do get scrap to let me know because I can offer them very competitive pricing.",No Scrap,Lost,Cold,6/6/2026,6,173,Other,Follow up in 180 days,marketing@kl-recycling.com,No,In Person,FALSE,
LID-1765385534563,CID-938FA471,dgi precision metal,2025-12-09,"Called the owner yesterday after I was waiting for him to get back from UPS. I plan on going back tomorrow to try and get the account. He generates roughly 2-3k of aluminum every 2-3 months. It is not a huge account so the priority is slightly lower than others, but he was very interested whenever I first visited.",Left Message,Nurture,Warm,12/11/2025,6,-4,Other,General Follow up,marketing@kl-recycling.com,Yes,In Person,FALSE,
LID-1765390950525,CID-25AA8A43,ameco,2025-12-10,"I was instructed that I needed to speak to Tommy Morrison because he seems to be the only one who knows about their roll off container. He is currently sick and most likely will not be at the office the rest of the week, so I will schedule a follow up for next week. ",Bad Timing,Prospect,Cold,1/8/2026,5,24,Other,General Follow up,marketing@kl-recycling.com,Yes,In Person,FALSE,
LID-1765398020893,CID-MJ0GEE46,Tyler R.V. Center,2025-12-10,"Spoke to Mr. Shaw for quite a while because he knows Mark and Andy and Dylan fairly well. He told me that he forgets about Madfos because he doesn't see very much action every time he passes by it. He is currently doing a large clean up because he is selling his business and has a fair amount of aluminum, short iron, motors, copper #1 & #2, ICW, Al/Cu radiators and compressors that he is trying to sell. I told him that I would pay him top dollar for it, so I need to get with Corey on what prices I can offer him. Right now Tyler Iron is paying $8.50/100lb and will check with Dylan on NF prices",Send Info,Prospect,Warm,12/16/2025,5,1,Other,General Follow up,marketing@kl-recycling.com,No,In Person,FALSE,
LID-1765400349852,CID-MJ0HSB55,pump works,2025-12-10,"Spoke to the receptionist and she said that they currently use a competitor, but was not sure who it was. She said that the VP is involved with it and that he was not there for the day. I asked her when he would be in and she did not give me a clear answer. I need to find out and see if  I can get a meeting with him or speak to him on the phone and figure out who they are using, how much they are getting paid, the amount of scrap they produce, and any pain points they have. If it is a good enough account, I can talk to Corey about placing incentives to get them to switch over to us.",Has Vendor,Nurture,Warm,1/8/2026,5,24,Has Vendor,Follow up in 90 days,marketing@kl-recycling.com,No,In Person,FALSE,
LID-1765403287742,CID-MJ0JJA9T,Bestway Oilfield ,2025-12-10,"According to the manager, they currently use Tyler Iron, but because of its size, they do not want a bin at their location. He stated that he calls Tyler Iron whenever scrap accumulates, and Tyler Iron typically accepts 2-3 loads without charging a dumping fee. He doesn't know how much they pay for their metal, but it's primarily stainless steel, stainless steel shavings, and pipe fittings. He said his one pain point was that Tyler Iron did not buy his stainless steel shavings, so he feels like a lot is being wasted there because they have to just throw it in the dumpster. I told him I could pay more than what Tyler Iron does, provide better service for whenever he needs his scrap picked up, and will separate all of his metal and buy the stainless steel shavings. He seemed interested and took my card, so I need to follow up with him since we wouldn't actually be deploying a roll-off; it would more so be a bulk pickup service, and it is about 2 miles from Madfos.",Interested,Nurture,Hot,12/23/2025,5,8,Interested,Send pricing info,marketing@kl-recycling.com,No,In Person,FALSE,
LID-1765403472083,CID-MJ0JN8EE,st fastener,2025-12-10,Gatekeeper blocked,Bad Timing,Prospect,Cold,1/8/2026,5,24,Other,General Follow up,marketing@kl-recycling.com,No,In Person,FALSE,
LID-1765404878797,CID-1E12DEDC,pedros paint and body,2025-12-10,"Spoke to Pedro, and he would like a 20-yard container at the earliest next Wednesday. It is an autobody shop so he will need his metal separated. ",Won,Won,Active,12/14/2025,5,-1,Interested,Deploy container,marketing@kl-recycling.com,Yes,In Person,FALSE,
LID-1765406292750,CID-MJ0LBOLJ,Tyler R.V.,2025-12-10,Called Mr. Shaw back regarding the prices that we can pay for his metal and his receptionist told me to email her the prices so she can give it to him. I sent him an email with the prices and told her to tell him to give me a call or text as soon as he looks it over.,Send Info,Prospect,Warm,12/16/2025,5,1,Other,General Follow up,marketing@kl-recycling.com,No,In Person,FALSE,
LID-1765488936061,CID-15F9D96A,tyler industrial supply,2025-12-11,"Spoke with the manager and looked around at what type of area he would want the roll-off container to be placed in. He currently has several large boxes of short iron, several 20ft stainless steel pipes that are about a 8 inches wide, 20-30 ft slong iron pipes, and aluminum pipes. He told me to come back about mid-January because he is not exactly sure what he wants to do with his inventory. I put a calendar event for January 14th so we can get this account rolling. He seems very interested as i addressed any and all questions he had regarding the separation of metal, length of pipes, and container size and location so it is not in the way.",Interested,Nurture,Hot,12/24/2025,4,9,Interested,Send pricing info,marketing@kl-recycling.com,Yes,In Person,FALSE,
LID-1765552891168,CID-MJ30LSRI,Hydro Chem,2025-12-11,They did not feel as if they accumulated enough scrap metal to warrant a roll off container. I let them know that I will buy any volume of metal so if they do come across some to give me a call and take it over to Madfos so I can get them the best price.,No Scrap,Lost,Cold,1/9/2026,4,25,Other,Follow up in 180 days,marketing@kl-recycling.com,No,In Person,FALSE,
LID-1765558709065,CID-0447E72C,Roto-Rooters,2025-12-12,"Spoke to the owner mike and he said that he really didn't generate enough scrap to have a roll off container. specifically said ""I am not interested in a roll-off container"" but he did seem interested for whenever he has to haul off his scrap about giving me a call and taking it to Madfos",Not Interested,Lost,Active,2026-04-01,3,107,Interested,Follow up in 180 days,marketing@kl-recycling.com,Yes,In Person,FALSE,
LID-1765562594282,CID-B9D0D472,Caliber Collision,2025-12-12,"Spoke to the general manager Samantha Garland and they currently have their own roll-off container with corporate. I let her know that even if we cannot put a roll-off container at their business, I will buy the metal at top dollar for them to dump it at Madfos. She gave me her card and told me to email her the prices I can pay for tin and aluminum. She thinks she is currently being paid $0.30-$0.40 /lb but is not entirely sure. The max Madfos is paying is $0.58/lb so I am going to offer them the max because they do a lot of busniess and I think it would be a steady account in terms of volume",Interested,Nurture,Hot,2025-12-26,3,11,Interested,Send pricing info,marketing@kl-recycling.com,Yes,In Person,FALSE,
LID-1765568219351,CID-43F6CB3F,McCoy's Plumbing Inc,2025-12-12,The receptionist told me that I had just missed Mr. McCoy and that a good time to come back would be early in the morning. I put him on my schedule to visit him on Monday first thing in the morning,Send Info,Nurture,Warm,12/14/2025 8:00:00,3,-1,Other,General Follow up,marketing@kl-recycling.com,Yes,In Person,FALSE,
LID-72378,CID-2E1D0CFE,Express Engines,12/12/2025 15:53:29,"Spoke to the manager there for a while and viewed their property. They currently haul their scrap with a trailer to Tyler Iron. He currently cannot make any decisions until the owner Randy reviews it, but this is a very wam lead because they seemed very interested.",Corp/Mgr Approval,Nurture,Warm,2025-12-15,3,0,Other,General Follow up,marketing@kl-recycling.com,No,In Person,FALSE,
LID-75324,CID-B9D0D472,Caliber Collision,12/12/2025 15:56:20,spoke to a guy at the front desk and let me know that corporate is the one who deals with their handling of scrap. I let him know that I talked to the other location and that I could offer top dollar for him to dump the scrap at Madfos. He took down my information and card and said he would give it to his manager and they would reach out.,Corp/Mgr Approval,Nurture,Warm,2025-12-18,3,3,Other,General Follow up,marketing@kl-recycling.com,Yes,In Person,FALSE,
LID-84832,CID-AA9953B8,Aegis Therapy,12/12/2025 16:04:16,"Spoke to someone who is wanting to get rid of a lot of wheelchairs for a retirement home as they are needing to replace the old ones. I told him that I would buy them, but he might not get as much money as he wants for them. I gave him my card, and he is going to reach out as soon as he makes a decision.",Corp/Mgr Approval,Nurture,Warm,2025-01-01,3,,Other,General Follow up,marketing@kl-recycling.com,No,In Person,FALSE,
LID-91241,CID-AA9953B8,McDonalds,12/12/2025 16:07:35,My brother in law has a warehouse that is full of old stainless steel kitchenware from McDonald's and is wanting to do a major cleanup and will be needing a roll-off soon. He doesnt know the exact date yet,Corp/Mgr Approval,Nurture,Warm,2025-01-01,3,,Other,General Follow up,marketing@kl-recycling.com,No,In Person,FALSE,
,,,,,,,,,,,,,marketing@kl-recycling.com,,In Person,FALSE,
